sample	batch		value
32151648_EXO_S4	180726-190530	readsAdapterNotFoundPerc	1.23647690809848
32152253_EXO_S33	180913-190529	readsAdapterNotFoundPerc	0.523001526063759
32151859_EXO_S28	180913-190529	readsAdapterNotFoundPerc	0.687100923813518
32150292_EXO_S9	180913-190529	readsAdapterNotFoundPerc	0.863174759767971
32152341_EXO_S35	180913-190529	readsAdapterNotFoundPerc	0.591105159169491
32151226_EXO_S21	180913-190529	readsAdapterNotFoundPerc	0.67605905636635
32150013_EXO_S3	180913-190529	readsAdapterNotFoundPerc	0.726856975688669
32150698_EXO_S12	180913-190529	readsAdapterNotFoundPerc	0.90545151119927
32151984_EXO_S30	180913-190529	readsAdapterNotFoundPerc	0.435608263904706
32152084_EXO_S31	180913-190529	readsAdapterNotFoundPerc	0.505403517041344
32150243_EXO_S8	180913-190529	readsAdapterNotFoundPerc	0.566057110028244
32151180_EXO_S20	180913-190529	readsAdapterNotFoundPerc	0.732296069981746
32141643_EXO_S1	180913-190529	readsAdapterNotFoundPerc	0.720095781193022
32141786_EXO_S2	180913-190529	readsAdapterNotFoundPerc	0.870361505116555
32150076_EXO_S4	180913-190529	readsAdapterNotFoundPerc	0.764495390120566
32150849_EXO_S15	180913-190529	readsAdapterNotFoundPerc	0.732787324035963
32151444_EXO_S22	180913-190529	readsAdapterNotFoundPerc	0.647912105552095
